"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Age","MotherLanguage","Institution","Institution[other]","AreaStudy","AreaStudy[other]","Level","WhatisOA[SQ001]","WhatisOA[SQ002]","WhatisOA[SQ003]","WhatisOA[SQ004]","WhatisOA[SQ005]","HeardAboutIt","HeardAboutIt[comment]","Importance","Legal","Paywall","SciHub","Unpaywall","Final","interviewtime","groupTime1","AgeTime","MotherLanguageTime","InstitutionTime","AreaStudyTime","LevelTime","WhatisOATime","groupTime2","HeardAboutItTime","ImportanceTime","LegalTime","PaywallTime","SciHubTime","UnpaywallTime","FinalTime"
"52","2019-05-21 18:10:41","2","en","628274878","2019-05-21 18:07:14","2019-05-21 18:10:41","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","Yes","Yes","Yes","Yes","No","Yes","","Extremely","Legal","Yes","Rarely","Never heard of it","Doesn't know","207.99","52.03","","","","","","","155.96","","","","","","",""
"53","2019-05-21 18:41:52","2","en","1952446787","2019-05-21 18:39:51","2019-05-21 18:41:52","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","No","Yes","No","","Extremely","Legal","Yes","Very often","Never heard of it","Doesn't know","121.8","51.64","","","","","","","70.16","","","","","","",""
"54","2019-05-21 19:05:34","2","en","2003589588","2019-05-21 18:58:46","2019-05-21 19:05:34","18 - 24","Spanish","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","No","Yes","No","","Extremely","Legal","Yes","Never heard of it","Never heard of it","Open Access","408.93","163.15","","","","","","","245.78","","","","","","",""
"55","2019-05-21 19:09:18","2","en","101672952","2019-05-21 19:07:51","2019-05-21 19:09:18","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","Yes","No","No","","Extremely","Illegal","No","Rarely","Never heard of it","All Rights Reserved","88.49","41.89","","","","","","","46.6","","","","","","",""
"56","2019-05-21 19:28:04","2","en","804805548","2019-05-21 19:23:37","2019-05-21 19:28:04","45 - 49","Portuguese","","","Humanities, Arts and Social Sciences","","PhD","No","No","Yes","No","No","Yes","","Very","Legal","","Never heard of it","Never heard of it","Open Access","266.62","106.96","","","","","","","159.66","","","","","","",""
"57","","","en","1309067697","2019-05-21 19:26:59","2019-05-21 19:26:59","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","0","","","","","","","","","","","","","","",""
"58","2019-05-21 19:41:22","2","en","53627369","2019-05-21 19:38:50","2019-05-21 19:41:22","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","No","Yes","No","","Very","","Yes","Never heard of it","Never heard of it","Open Access","152.62","66.01","","","","","","","86.61","","","","","","",""
"59","","","en","999681571","2019-05-21 19:40:49","2019-05-21 19:40:49","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","0","","","","","","","","","","","","","","",""
"60","2019-05-21 20:14:35","2","en","1328240709","2019-05-21 20:12:03","2019-05-21 20:14:35","25 - 29","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","Yes","Yes","No","","Not at all","Illegal","","","","","152.95","91.19","","","","","","","61.76","","","","","","",""
"61","2019-05-21 21:00:41","2","en","1612746113","2019-05-21 20:42:03","2019-05-21 21:00:41","45 - 49","Portuguese","","","Humanities, Arts and Social Sciences","","Master","No","No","No","Yes","No","Yes","Penso que é muito importante para a realização de trabalhos académicos
e que proporciona um conhecimento alargado e de fácil acesso a nível cientifico","Very","Legal","No","Rarely","Often","All Rights Reserved","1118.86","207.03","","","","","","","911.83","","","","","","",""
"62","","1","en","158162559","2019-05-21 21:20:17","2019-05-21 21:20:53","","Portuguese","","","Science, Technology, Engineering, or Mathematics","","Undergraduate","No","No","No","No","Yes","","","","","","","","","36.24","36.24","","","","","","","","","","","","","",""
"63","","","en","1848622621","2019-05-21 21:23:03","2019-05-21 21:23:03","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","0","","","","","","","","","","","","","","",""
"64","2019-05-21 21:25:16","2","en","1264421824","2019-05-21 21:23:46","2019-05-21 21:25:16","35 - 39","Portuguese","","","Science, Technology, Engineering, or Mathematics","","Master","Yes","Yes","Yes","Yes","No","No","","Very","Legal","Yes","Rarely","Never heard of it","All Rights Reserved","90.55","45.17","","","","","","","45.38","","","","","","",""
"65","2019-05-21 21:52:50","2","en","213969647","2019-05-21 21:50:00","2019-05-21 21:52:50","18 - 24","Ukrainian","","","Humanities, Arts and Social Sciences","","Master","Yes","No","No","Yes","No","Yes","","Very","Legal","Yes","Often","Very often","Open Access","171.22","75.52","","","","","","","95.7","","","","","","",""
"66","2019-05-21 22:39:14","2","en","859966836","2019-05-21 22:37:48","2019-05-21 22:39:14","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","Yes","No","No","Yes","No","Yes","","Extremely","","Yes","Never heard of it","Never heard of it","Doesn't know","87.21","35.88","","","","","","","51.33","","","","","","",""
"67","2019-05-21 22:57:20","2","en","100564522","2019-05-21 22:54:24","2019-05-21 22:57:20","30 - 34","Portuguese","","","Science, Technology, Engineering, or Mathematics","","Master","Yes","No","No","Yes","No","Yes","","Very","Legal","Yes","Rarely","Never heard of it","Open Access","176.98","68.59","","","","","","","108.39","","","","","","",""
"68","","1","en","1225690143","2019-05-21 23:05:47","2019-05-21 23:06:43","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","No","Yes","","","","","","","","","55.85","55.85","","","","","","","","","","","","","",""
"69","","1","en","2002977795","2019-05-21 23:19:20","2019-05-21 23:20:06","25 - 29","Croatian","","","Humanities, Arts and Social Sciences","","Master","No","No","No","No","Yes","","","","","","","","","46.09","46.09","","","","","","","","","","","","","",""
"70","2019-05-21 23:47:43","2","en","1146082993","2019-05-21 23:46:30","2019-05-21 23:47:43","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","Yes","No","No","Yes","No","Yes","","Very","Legal","Yes","Very often","Never heard of it","Open Access","73.82","24.4","","","","","","","49.42","","","","","","",""
"71","2019-05-22 02:28:17","2","en","1681005804","2019-05-22 02:25:55","2019-05-22 02:28:17","45 - 49","Portuguese","","","Science, Technology, Engineering, or Mathematics","","Bachelor","No","No","No","No","Yes","No","","","Legal","No","Never heard of it","Never heard of it","Doesn't know","142.23","47.7","","","","","","","94.53","","","","","","",""
"72","","1","en","2081476007","2019-05-22 07:41:31","2019-05-22 07:42:16","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","No","Yes","","","","","","","","","45.25","45.25","","","","","","","","","","","","","",""
"73","2019-05-22 08:20:16","2","en","1331521854","2019-05-22 08:14:56","2019-05-22 08:20:16","45 - 49","Portuguese","","","Humanities, Arts and Social Sciences","","Master","No","No","No","No","Yes","","","","","","","","","136.57","111.02","","","","","","","25.55","","","","","","",""
"74","2019-05-22 09:06:29","2","en","767283988","2019-05-22 09:02:07","2019-05-22 09:06:29","25 - 29","Portuguese","","","Humanities, Arts and Social Sciences","","PhD","No","No","No","Yes","No","Yes","","Very","Legal","Yes","Rarely","Often","Open Access","262.98","56.86","","","","","","","206.12","","","","","","",""
"75","","1","en","455185228","2019-05-22 09:35:25","2019-05-22 09:38:01","45 - 49","Portuguese","","","Science, Technology, Engineering, or Mathematics","","Master","Yes","No","No","Yes","No","","","","","","","","","155.48","155.48","","","","","","","","","","","","","",""
"76","","","en","1027504839","2019-05-22 09:56:42","2019-05-22 09:56:42","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","0","","","","","","","","","","","","","","",""
"77","2019-05-22 10:30:07","2","en","772860439","2019-05-22 10:24:03","2019-05-22 10:30:07","60 - 64","French","","","Humanities, Arts and Social Sciences","","Master","Yes","No","No","No","No","Yes","","Very","","Yes","Never heard of it","Never heard of it","Open Access","364.48","94","","","","","","","270.48","","","","","","",""
"78","2019-05-22 10:39:31","2","en","1200844567","2019-05-22 10:36:57","2019-05-22 10:39:31","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","No","Yes","No","","Extremely","Legal","No","Never heard of it","Never heard of it","All Rights Reserved","155.52","70.53","","","","","","","84.99","","","","","","",""
"79","2019-05-22 10:42:21","2","en","47925055","2019-05-22 10:40:40","2019-05-22 10:42:21","25 - 29","Portuguese","","","Humanities, Arts and Social Sciences","","Master","No","No","No","Yes","No","Yes","","Extremely","Legal","","","","","101.84","39.19","","","","","","","62.65","","","","","","",""
"80","2019-05-22 11:27:31","2","en","901582701","2019-05-22 11:25:55","2019-05-22 11:27:31","25 - 29","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","No","No","No","Yes","No","No","","Extremely","Legal","Yes","Never heard of it","Never heard of it","Open Access","93.85","27.1","","","","","","","66.75","","","","","","",""
"81","2019-05-22 11:50:29","2","en","1623044828","2019-05-22 11:48:27","2019-05-22 11:50:29","35 - 39","Portuguese","","","Humanities, Arts and Social Sciences","","Master","Yes","No","No","Yes","No","Yes","","Very","Legal","Yes","Never heard of it","Never heard of it","Open Access","122.84","44.81","","","","","","","78.03","","","","","","",""
"82","","","en","1913996002","2019-05-22 12:49:24","2019-05-22 12:49:24","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","0","","","","","","","","","","","","","","",""
"83","","1","en","1548776357","2019-05-22 14:06:03","2019-05-22 14:07:35","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","Yes","Yes","Yes","Yes","No","","","","","","","","","92.83","92.83","","","","","","","","","","","","","",""
"84","2019-05-22 15:45:10","2","en","1250219351","2019-05-22 15:43:26","2019-05-22 15:45:10","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","No","No","No","No","Yes","No","","Quite","Legal","Yes","Never heard of it","Often","Doesn't know","104.4","27.17","","","","","","","77.23","","","","","","",""
"85","","1","en","2136650551","2019-05-22 19:10:22","2019-05-22 19:10:55","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","No","Yes","","","","","","","","","33.46","33.46","","","","","","","","","","","","","",""
"86","","","en","16162006","2019-05-22 21:52:29","2019-05-22 21:52:29","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","0","","","","","","","","","","","","","","",""
"87","2019-05-22 22:16:50","2","en","1280833048","2019-05-22 22:14:22","2019-05-22 22:16:50","18 - 24","French","","","Humanities, Arts and Social Sciences","","Postdoc","No","No","Yes","No","No","No","","","Legal","No","Rarely","Very often","All Rights Reserved","148.92","61.69","","","","","","","87.23","","","","","","",""
"88","2019-05-22 22:40:17","2","en","1203517793","2019-05-22 22:33:17","2019-05-22 22:40:17","40 - 44","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","Yes","No","No","Yes","No","Yes","","Very","Legal","Yes","Never heard of it","Often","Open Access","420.59","296.92","","","","","","","123.67","","","","","","",""
"89","","1","en","1357332730","2019-05-22 22:39:42","2019-05-22 22:40:53","60 - 64","Portuguese","","","Humanities, Arts and Social Sciences","","Master","No","No","No","Yes","No","","","","","","","","","72.9","72.9","","","","","","","","","","","","","",""
"90","2019-05-23 02:57:09","2","en","755008442","2019-05-23 02:56:12","2019-05-23 02:57:09","25 - 29","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","No","No","No","No","Yes","","","","","","","","","56.47","52.21","","","","","","","4.26","","","","","","",""
"91","2019-05-23 08:59:49","2","en","884806575","2019-05-23 08:57:53","2019-05-23 08:59:49","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","No","No","No","No","Yes","No","","Very","","Yes","Never heard of it","Never heard of it","Doesn't know","117.69","37.84","","","","","","","79.85","","","","","","",""
"92","2019-05-23 15:20:00","2","en","30254159","2019-05-23 15:18:06","2019-05-23 15:20:00","30 - 34","Portuguese","","","Science, Technology, Engineering, or Mathematics","","Not In Academica right now","Yes","No","No","No","No","Yes","","Extremely","Legal","No","Never heard of it","Always","Open Access","114.57","42.22","","","","","","","72.35","","","","","","",""
"93","2019-05-23 15:59:27","2","en","1368916188","2019-05-23 15:55:23","2019-05-23 15:59:27","18 - 24","Spanish","","","Humanities, Arts and Social Sciences","","Undergraduate","Yes","No","No","Yes","No","Yes","","Very","Legal","Yes","Never heard of it","Always","Doesn't know","244.17","54.91","","","","","","","189.26","","","","","","",""
"94","2019-05-23 22:55:08","2","en","472444710","2019-05-23 22:50:52","2019-05-23 22:55:08","45 - 49","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","No","No","No","No","Yes","No","","Extremely","Legal","Yes","Never heard of it","Very often","Open Access","256.76","79.09","","","","","","","177.67","","","","","","",""
"95","2019-05-24 01:21:27","2","en","535976186","2019-05-24 01:20:14","2019-05-24 01:21:27","25 - 29","Portuguese","","","Humanities, Arts and Social Sciences","","Master","Yes","Yes","Yes","Yes","No","Yes","","Extremely","Legal","Yes","Very often","Never heard of it","Open Access","73.96","36.27","","","","","","","37.69","","","","","","",""
"96","","","en","1672374863","2019-05-24 09:45:58","2019-05-24 09:45:58","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","0","","","","","","","","","","","","","","",""
"97","2019-05-24 18:52:16","2","en","614701868","2019-05-24 18:50:12","2019-05-24 18:52:16","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Undergraduate","No","No","No","No","Yes","No","","Extremely","","Yes","","Often","Open Access","125.51","51.91","","","","","","","73.6","","","","","","",""
"98","2019-05-24 21:55:21","2","en","301086317","2019-05-24 21:51:06","2019-05-24 21:55:21","18 - 24","","","","Humanities, Arts and Social Sciences","","Master","No","No","Yes","Yes","No","No","I have only heard about Open Access in reference to software or databases.","Extremely","Legal","Yes","Never heard of it","Never heard of it","Doesn't know","256.37","66.67","","","","","","","189.7","","","","","","",""
"99","2019-05-25 09:55:35","2","en","1133923486","2019-05-25 09:53:47","2019-05-25 09:55:35","45 - 49","English","","","Humanities, Arts and Social Sciences","","PhD","Yes","Yes","Yes","Yes","No","Yes","","Very","Legal","Yes","Often","Very often","Open Access","109.25","50.31","","","","","","","58.94","","","","","","",""
"100","","1","en","297349355","2019-05-25 15:43:55","2019-05-25 15:44:37","25 - 29","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","No","No","No","No","Yes","","","","","","","","","42.39","42.39","","","","","","","","","","","","","",""
"101","","1","en","1193283139","2019-05-25 17:11:46","2019-05-25 17:12:25","40 - 44","Portuguese","","","Humanities, Arts and Social Sciences","","PhD","No","No","No","Yes","No","","","","","","","","","39.35","39.35","","","","","","","","","","","","","",""
"102","","","en","1918312665","2019-05-25 22:33:47","2019-05-25 22:33:47","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","0","","","","","","","","","","","","","","",""
"103","2019-05-31 11:16:16","2","en","1388872668","2019-05-31 11:13:26","2019-05-31 11:16:15","18 - 24","Portuguese","","","Humanities, Arts and Social Sciences","","Bachelor","Yes","No","No","No","No","Yes","","Extremely","Legal","Yes","Never heard of it","Never heard of it","All Rights Reserved","170.97","60.29","","","","","","","110.68","","","","","","",""
"104","2019-06-01 16:10:53","2","en","919067276","2019-06-01 16:06:53","2019-06-01 16:10:53","30 - 34","Portuguese","","","Science, Technology, Engineering, or Mathematics","","Master","Yes","No","No","No","No","Yes","","Very","Legal","Yes","Very often","Often","Open Access","240.32","61.17","","","","","","","179.15","","","","","","",""
"105","2019-06-03 19:23:57","2","en","1983848813","2019-06-03 19:16:17","2019-06-03 19:23:57","25 - 29","Spanish","","","Humanities, Arts and Social Sciences","","Master","Yes","No","No","Yes","No","Yes","I heard about it and I know it's part of the ""fight"" for the democratization of knowledge, that usually takes place at the academic level. ","Extremely","Legal","Yes","Never heard of it","Never heard of it","Open Access","461.28","105.91","","","","","","","355.37","","","","","","",""
"106","2019-06-04 12:01:35","2","en","1466373242","2019-06-04 12:00:23","2019-06-04 12:01:35","25 - 29","Portuguese","","","Humanities, Arts and Social Sciences","","Master","No","No","No","No","Yes","No","","Extremely","","Yes","Rarely","Never heard of it","Open Access","72.39","24.03","","","","","","","48.36","","","","","","",""

